RPROP,DIMENSION,NUM_RUNS,TRAIN_ERR_MEAN,VAL_ERR_MEAN,TRAIN_ACC_MEAN,VAL_ACC_MEAN,TIME_MEAN,TRAIN_ERR_VAR,VAL_ERR_VAR,TRAIN_ACC_VAR,VAL_ACC_VAR,TIME_VAR,TEST_ACC_MEAN,TEST_ACC_VAR
0,32,500,8239.03393,3029.92899,0.94938,0.93437,16.73712,88.34463,13.65647,3e-05,2e-05,13.34921,0.93698,2e-05
1,32,500,9839.28561,3325.28545,0.93936,0.92708,20.51054,96.62647,17.90433,4e-05,3e-05,37.19115,0.92941,3e-05
2,32,500,8106.88809,3090.95487,0.9503,0.93439,10.53725,132.27345,24.15738,3e-05,3e-05,3.34213,0.93705,3e-05
3,32,500,8709.10716,3201.23648,0.94689,0.93202,18.4201,186.90155,32.46545,5e-05,4e-05,21.1848,0.92941,3e-05
0,64,500,6271.98645,2648.42917,0.96134,0.94667,24.53597,109.97765,15.11937,2e-05,2e-05,33.29466,0.94673,2e-05
1,64,500,7834.69135,2870.71056,0.95145,0.94051,14.24941,120.82831,20.2194,3e-05,3e-05,2.14533,0.94035,3e-05
2,64,500,6331.97668,2820.66333,0.96154,0.94566,14.60276,145.42581,24.9133,3e-05,2e-05,1.01691,0.94586,2e-05
3,64,500,7376.01085,3011.7445,0.95609,0.94215,14.23962,355.50678,67.66344,6e-05,4e-05,0.61464,0.94035,3e-05
0,128,500,4599.94053,2553.69316,0.972,0.95019,34.89503,128.89573,25.76701,2e-05,2e-05,35.32197,0.95291,2e-05
1,128,500,6648.40905,2800.12498,0.9594,0.94276,24.58262,222.52057,49.94945,4e-05,3e-05,1.98191,0.94535,3e-05
2,128,500,4905.59774,2900.33362,0.97114,0.94858,25.44541,188.69718,52.85971,2e-05,2e-05,2.7352,0.95153,1e-05
3,128,500,6539.45412,3255.84552,0.96327,0.94342,25.64878,434.80021,95.01036,5e-05,3e-05,14.92736,0.94535,3e-05
